"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RN7SL2" 7.4084220708753 6.47772749094609 29.3423837399124 1.20909252228439e-16 6.58592696888307e-13 27.8717630497465
"RPPH1" 6.03827265164172 5.36664547790473 16.500463451406 2.62101779091676e-12 1.29788035519305e-09 18.4870797769835
"MT-TH" -5.74750410130998 3.38132722975912 -19.1137592270196 2.13339189741915e-13 1.78778241003724e-10 20.9446133657376
"RN7SK" 5.46444250169322 4.86710161494475 31.2892004291385 3.88875709618318e-17 4.23641198058196e-13 28.874238915933
"RNU4-1" -5.37704691900995 6.7122025834867 -18.1772271444926 5.04840429381182e-13 3.235136257458e-10 20.0895981434299
"7SK" 5.21943503190628 4.82971341597035 28.3606565663921 2.20264433738822e-16 7.99853580383574e-13 27.3409090571245
"MT-TN" 5.08856658026839 4.90972537892625 3.152061248661 0.0055170925741025 0.020618595712615 -3.18063727231078
"RNU4-2" -4.98686582598012 6.43597912005739 -15.7628968671185 5.67188470066514e-12 2.20676828318022e-09 17.7218928035717
"SNORA23" -4.93105191378049 5.33849447141415 -25.5576167896366 1.37132966771705e-15 3.73481635002738e-12 25.6780401970966
"MT-TM" -4.71135460526686 4.32356359758143 -10.7356451707424 2.98655998087155e-09 2.90496289567988e-07 11.4343428895075
"MT-TS2" -4.60052867604349 2.53559011525198 -13.1157849471991 1.20258618258339e-10 2.25878859880404e-08 14.6800480871087
"SNORA64" -4.40713202819127 4.9851727134067 -25.1483266125839 1.81965993420691e-15 3.96467506465001e-12 25.371525104315
"RN7SKP80" -3.6162048650254 4.80316955032327 -8.77934776557571 6.40104779447169e-08 3.70920290813694e-06 8.36103490351392
"SCARNA16" -3.5224423612412 4.47270487275372 -18.4934203982729 3.75786784888845e-13 2.57597323062581e-10 20.3331017281414
"MT-TL2" -3.49542986923271 2.24108887314024 -8.04411655248771 2.27765715611338e-07 9.69249885105435e-06 7.07279516580159
"SNORA63" -3.30251010187901 4.95269907107548 -12.0673117031959 4.65339300091753e-10 6.88831806749973e-08 13.3433605111126
