"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Gene"
"IFIT2" -3.87175665573847 4.89153330397805 -12.7731333680791 7.69384324795077e-18 5.85112017009468e-15 30.3491414018682 "IFIT2"
"IFIT3" -3.30519943756467 5.44704672813405 -12.1366028778524 5.90337300263874e-17 3.12174676467882e-14 28.3526613519466 "IFIT3"
"OASL" -3.13335217216885 4.77903860051012 -11.1097760227634 1.76305302512791e-15 3.9091693893518e-13 25.0172925276367 "OASL"
"FOS" -2.55594044776874 3.68929956257415 -13.5856630669485 6.15612432178457e-19 9.38424201302036e-16 32.8180962422599 "FOS"
"CCL3" -2.31963701549911 3.95475852190732 -14.2113168281181 9.32153269673466e-20 2.84190228091698e-16 34.6589527786398 "CCL3"
"RNU5E-1" -2.07389923058519 4.79039630573185 -7.35664803632614 1.17545854129661e-09 3.61987800785661e-08 11.8069029783223 "RNU5E-1"
"IFNL1" -2.06769207692451 3.33687726677819 -6.89826324946033 6.44732826072848e-09 1.48349373848271e-07 10.1321663119162 "IFNL1"
"IFIT1" -2.05829788759667 4.13697121136561 -10.9805553752578 2.72907376916123e-15 5.54684243582019e-13 24.5876976716042 "IFIT1"
"SEMA3A" -2.03394606644747 3.46500725098904 -7.41683510464405 9.40232146082685e-10 3.02536438561434e-08 12.0267508622387 "SEMA3A"
"RNU4-1" -1.99618301179716 5.1674681595815 -6.71820103275938 1.25790770284723e-08 2.59124737098345e-07 9.47512971256288 "RNU4-1"
"CCL4L2" -1.96335788281131 3.83318849098817 -12.0869923538455 6.93465261529256e-17 3.13215143124047e-14 28.1947574107141 "CCL4L2"
"CXCL8" -1.96125145435485 3.29536455599895 -6.23129299181165 7.62562034285705e-08 1.19530128639e-06 7.7059597237543 "CXCL8"
"RGS4" -1.89338989971987 3.07548653923755 -7.80896591300583 2.20104145361818e-10 9.09888153453346e-09 13.4570009037921 "RGS4"
"RNU4-2" -1.88202319877051 5.18593971438584 -5.98757355598479 1.86953502353778e-07 2.52201101903134e-06 6.82714925750549 "RNU4-2"
"CCL20" -1.82614019510253 3.2482902201082 -6.72238414580937 1.23853549741999e-08 2.55565827259505e-07 9.49038202531679 "CCL20"
"IFI44" -1.81640291995187 3.99435128802827 -6.01538280496562 1.68811002293919e-07 2.31049402129556e-06 6.92712394921277 "IFI44"
"BCYRN1" -1.79937800480865 3.5289983913961 -8.28677489320689 3.78872743854796e-11 1.99153151349536e-09 15.1910568604214 "BCYRN1"
"SLFN5" -1.76344339424652 3.53759677710706 -11.696442672823 2.49051281249399e-16 7.92414002298524e-14 26.9401260551272 "SLFN5"
"PCDH7" -1.7196059661912 2.51779630821257 -10.4053728264868 1.95639600370451e-14 3.22408773853737e-12 22.6496564105413 "PCDH7"
"RNU5B-1" -1.70377336276578 4.75630157616628 -6.13232073811821 1.0981735009802e-07 1.62527012675407e-06 7.34839599037246 "RNU5B-1"
"NAV3" -1.69085229201978 4.46926503474034 -13.2930681866022 1.51379082924548e-18 1.67824356024078e-15 31.9392629284566 "NAV3"
"DLX2" -1.68736452572471 2.96248612729039 -11.8131081286318 1.69640460903923e-16 5.91075834492385e-14 27.3170550461517 "DLX2"
"RNU5A-1" -1.6841182859641 4.38409653525836 -6.43222312118204 3.62978039375458e-08 6.33264261828858e-07 8.43428915070112 "RNU5A-1"
"CD180" -1.66780275571356 3.01962515105811 -7.57261347725625 5.27764737664769e-10 1.8441521420693e-08 12.5954538502283 "CD180"
"RNU12" -1.63553556641065 3.70582045916796 -7.74215601869176 2.81766632877945e-10 1.10843357675695e-08 13.213663991612 "RNU12"
"PAGE2" -1.62280907938366 3.07355489895243 -5.2970251595646 2.29242980491177e-06 2.09566577742871e-05 4.37855518505683 "PAGE2"
"IFNB1" -1.59206922812226 2.67608683292013 -5.782226882363 3.96360828812528e-07 4.76688393231635e-06 6.0917276523512 "IFNB1"
"RSAD2" -1.58574037158208 2.68764637773488 -9.41110017641425 6.45305366496262e-13 5.91691649956535e-11 19.2058103731406 "RSAD2"
"CXCL11" -1.57731911924535 2.76254868203265 -12.1026661833091 6.59049556712194e-17 3.13215143124047e-14 28.2446810684559 "CXCL11"
"TENT5A" -1.57099794994729 5.4867604184531 -14.0146562563166 1.67836098087621e-19 4.09352243235709e-16 34.0859183570902 "TENT5A"
"SMIM38" -1.56441555456845 2.74203125815465 -9.73220203189612 2.0616908845471e-13 2.28566548518653e-11 20.3302388003738 "SMIM38"
"OAS2" -1.550292081482 3.28090741222893 -8.35108727858933 2.99302302853756e-11 1.60792580762183e-09 15.4234446170206 "OAS2"
"KCNA1" -1.52341578291632 2.73692321388975 -10.505126100609 1.38627319115047e-14 2.38107064310986e-12 22.9887429668096 "KCNA1"
"AQP3" -1.52322674651698 3.25196671168902 -11.83751970561 1.56578390471185e-16 5.78628324786697e-14 27.3956946549342 "AQP3"
"PTGS2" -1.51965112768112 3.59791886324603 -7.55470491124393 5.63970004105718e-10 1.94524472230873e-08 12.5301031366522 "PTGS2"
"CXCL10" -1.51218052868021 2.97106691624901 -10.3751088343629 2.17244102684783e-14 3.53238910965456e-12 22.5465395481057 "CXCL10"
"GBP5" -1.50742157043672 2.92984903766151 -11.0792324502149 1.95449411263986e-15 4.25625994707912e-13 24.915945682542 "GBP5"
"GBP4" -1.49999331775625 3.58642416434766 -7.81416262600131 2.15917930536044e-10 8.95626438279043e-09 13.4759211355025 "GBP4"
"ITGA2" -1.4989242469875 5.35561974084678 -7.6464723962248 4.01466276379839e-10 1.48222126553713e-08 12.8648804621261 "ITGA2"
"CCL4" -1.49616564286185 2.75496015708713 -11.5788539024053 3.67394651746308e-16 1.06675661382053e-13 26.5583740821531 "CCL4"
