"Gene" "Signal"
"AKIP1" "Pos"
"ANXA2P2" "Pos"
"AREL1" "Neg"
"ASXL2" "Neg"
"BDNF" "Neg"
"CASP2" "Neg"
"CD44-AS1" "Neg"
"CFLAR" "Neg"
"CLDN6" "Pos"
"CLIP4" "Neg"
"CYTOR" "Neg"
"DCBLD2" "Neg"
"DELEC1" "Neg"
"DNAAF9" "Neg"
"DOCK5" "Neg"
"DSG2-AS1" "Neg"
"EEF1A1P5" "Pos"
"EFR3B" "Neg"
"EML4" "Neg"
"EPG5" "Neg"
"FAT1" "Neg"
"FOS" "Neg"
"ID2" "Neg"
"KCNB1" "Pos"
"LDLRAD4" "Pos"
"LINC00662" "Pos"
"LINC02987" "Pos"
"LPIN1" "Neg"
"MFHAS1" "Neg"
"NAV3" "Neg"
"NT5DC3" "Neg"
"PCLO" "Pos"
"PRDM1" "Neg"
"RRM2" "Neg"
"SLC37A3" "Neg"
"SLC9A3-OT1" "Neg"
"SP1" "Neg"
"TACC1" "Neg"
"TENM4" "Neg"
"TGFB3" "Neg"
"TJP2" "Neg"
"TNC" "Neg"
"TTLL5" "Neg"
"XDH" "Neg"
