ID	Length	TPM	Value
AAC3	924	8.86549883569725e-06	2.54874197692772e-10
AAD10	867	1.36159808064999e-05	5.10895230007423e-10
AAD14	1131	1.17870770901383e-05	4.75830939615453e-10
AAD15	432	8.83176406082778e-07	1.66666666666667e-09
AAD3	1092	1.06049676272745e-05	6.72455651707833e-10
AAD4	990	1.01560563831038e-05	4.75812066653941e-10
AAD6	1127	2.0770295545026e-05	4.14570816318541e-10
AAH1	1044	5.01744518895871e-05	1.49727414941395e-10
AAP1	2571	7.19295625232741e-05	4.30733840985962e-10
AAR2	1068	1.54453719133842e-05	6.64516770966946e-10
AAT1	1356	5.57435569415537e-05	2.86425489779146e-10
AAT2	1257	0.000610622934813487	2.48169284311554e-10
ABD1	1311	4.815588008679e-05	4.28468617290171e-10
ABF1	2196	0.000100983599635532	4.21064015437457e-10
ABF2	552	0.000281432858036547	1.65285996141081e-10
ABM1	372	6.87771531416266e-06	3.38737701714187e-10
ABP1	1779	0.000336721758702984	3.30151824760048e-10
ABP140	1887	0.000107005993647793	2.56774346015969e-10
ABZ1	2364	4.54652568272007e-05	3.88261380316325e-10
ABZ2	1125	4.48462432573911e-05	3.54465963483577e-10
ACA1	1470	1.56948823223584e-05	4.10693961510808e-10
ACB1	264	0.000487881759899268	1.45200517792674e-10
ACC1	6702	0.000488570453063136	7.54063271789582e-10
ACE2	2313	3.80455172890885e-05	5.20326159479503e-10
ACF2	2340	3.8210767078738e-05	3.86096486804708e-10
ACF4	930	2.85726839718196e-05	1.80162787564368e-10
ACH1	1581	9.39173674272449e-05	4.00886891518496e-10
ACK1	1872	3.59185046962534e-05	4.83081340550812e-10
ACL4	1164	5.52785950422169e-05	2.68400321353763e-10
ACM1	630	4.2321219647449e-05	1.83086273592281e-10
ACO1	2337	0.000733649298659512	3.95391221907058e-10
ACO2	2370	5.75470643965872e-05	3.16925301420627e-10
ACP1	378	0.000215524729686083	2.07827369200301e-10
ACS1	2142	1.42390912806702e-05	2.20439617682379e-10
ACS2	2052	0.000381368149891026	2.54752124978843e-10
ACT1	1128	0.00277068466195036	1.93177015580547e-10
ADA2	1305	3.45502909498476e-05	3.20197952959118e-10
ADD37	597	7.96597445599984e-05	1.51420194043298e-10
ADD66	804	6.01831606097637e-05	2.20992069504042e-10
ADE1	921	0.000120622368702013	2.3413123516116e-10
ADE12	1302	0.000159101033457948	2.10971081361267e-10
ADE13	1449	0.000208508365866622	2.52735912268721e-10
ADE16	1776	0.000241806398686082	3.6758756505323e-10
ADE17	1779	0.000154225150805289	3.20794166881914e-10
ADE2	1716	0.000114687231829632	2.28283968388627e-10
ADE3	2841	0.000394448230351428	4.88544363805191e-10
ADE4	1533	9.31687566889323e-05	3.66073306197951e-10
ADE5,7	2409	0.000185171639558376	4.37795689803432e-10
ADE6	4077	0.000153049964118859	5.54520039158991e-10
ADE8	645	0.00013145724392723	2.27984946284717e-10
ADF1	342	6.50980305759095e-05	2.87903654118406e-10
ADH1	1047	0.00472669939116091	9.96582478002966e-11
ADH2	1047	1.08892837447779e-05	1.1999651795645e-10
ADH3	1128	0.000656798065258541	2.48391607554966e-10
ADH4	1149	0.000122391891247752	2.88091742982437e-10
ADH5	1056	4.60763049077197e-05	2.11643918871128e-10
ADH6	1083	0.000369802957012024	3.3832254371273e-10
ADH7	1086	9.87825778087257e-06	4.81809940519882e-10
ADI1	540	9.22243974163616e-05	3.19630158407768e-10
ADK1	669	0.00120377386785635	2.3577531858201e-10
ADK2	678	2.76731672227666e-05	2.23099378838924e-10
ADO1	1023	0.0006945066465724	2.64485732296596e-10
ADP1	3150	8.67228763550083e-05	6.28878438702932e-10
ADR1	3972	6.59844369163761e-05	7.52682231368123e-10
ADY2	852	5.05759347045912e-06	7.94280854408475e-10
ADY3	2373	1.62672069798901e-05	5.47683002100486e-10
ADY4	1482	1.7733357739855e-05	3.45198436327153e-10
AEP1	1557	3.0255623687743e-05	4.79791435344911e-10
AEP2	1743	3.29499820730869e-05	3.98752851682576e-10
AEP3	1821	1.63916993209588e-05	5.44487667346706e-10
AFB1	675	3.06888215647776e-05	3.24956751146541e-10
AFG1	1530	8.6134452980231e-05	3.27663937195489e-10
AFG2	2343	3.2165528170079e-05	5.1590633930985e-10
AFG3	2286	7.21202098647606e-05	4.77720069047433e-10
AFI1	2682	1.72799931644147e-05	5.28652943294424e-10
AFR1	1863	2.88037481595079e-05	4.77675130272473e-10
AFT1	2073	4.68240627997237e-05	5.15271448621418e-10
AFT2	1251	2.69460373139839e-05	3.71942080967337e-10
AGA1	2178	3.37470420603337e-05	6.22560159347656e-10
AGA2	264	0.000160246927584966	1.84279308631082e-10
AGC1	2709	3.0238910757417e-05	5.24399231292892e-10
AGE1	1449	3.38891921346137e-05	4.10647448486046e-10
AGE2	897	8.01895681556804e-05	1.91767866863394e-10
AGP1	1902	0.000131295505413765	4.25231615756036e-10
AGP2	1791	6.02867753780324e-05	5.26657405666571e-10
AGP3	1677	1.06126149808907e-05	4.43061675970446e-10
AGX1	1158	1.95746992533799e-05	3.36884486838795e-10
AHA1	1053	0.000257381315954284	5.05255642126603e-10
AHC1	1701	3.35524571528441e-05	4.11786561754303e-10
AHC2	387	0.000253484918477997	3.06996812115053e-10
AHK1	2955	2.62101651803165e-05	4.67504202993071e-10
AHP1	531	0.00538519587293599	1.16291101922259e-10
AHT1	549	4.00623125767925e-06	1.66666666666667e-09
AI1	2505	0.00379495756312383	9.58949600298396e-10
AI2	2565	0.00184111930023963	9.46966905437062e-10
AI3	1248	0.000252700347792934	1.01437003222588e-09
AI4	1671	0.000809253356360926	9.86247161903387e-10
AI5_ALPHA	1893	0.000732547529055854	1.09715800670044e-09
AI5_BETA	1065	4.21676855599529e-05	1.08955039050353e-09
AIF1	1137	3.55299277443204e-05	3.02227720875594e-10
AIM10	1731	3.18689015481508e-05	3.68613466325368e-10
AIM11	414	4.13082611622554e-05	3.06644797485473e-10
AIM14	1713	6.59535432228064e-05	5.43044705302053e-10
AIM17	1398	0.000266973012266416	1.60800303579187e-10
AIM18	966	6.29614104329089e-05	2.64973508059949e-10
AIM19	474	7.10697249130141e-05	3.26000937822863e-10
AIM2	741	0.000130569607543151	3.12498410285697e-10
AIM20	615	6.9518780980381e-05	2.30877834447278e-10
AIM21	2040	6.41277750027801e-05	3.7245157554942e-10
AIM22	1230	2.8318411569961e-05	3.62306105917216e-10
AIM23	1071	2.60683289965471e-05	3.85449120322525e-10
AIM24	1185	7.28026709035646e-05	2.66644186248377e-10
AIM25	984	5.60164455668687e-05	1.96804889674654e-10
AIM26	357	6.34944026202072e-06	4.99854345741319e-10
AIM29	468	0.000145879961663555	1.21559130051225e-10
AIM3	2844	2.78249889010979e-05	6.1679661537116e-10
AIM32	936	1.55375107097278e-05	1.76252169923011e-10
AIM33	939	8.89118468728477e-06	3.00762009711673e-10
AIM34	597	3.52623125989988e-05	2.65449537036182e-10
AIM36	768	5.84162747126296e-05	3.50280459439154e-10
AIM39	1188	3.80852114366392e-05	2.84607142344117e-10
AIM4	372	3.46298999151699e-05	2.77182920089158e-10
AIM41	558	0.000163335683572015	2.61123629051854e-10
AIM44	2277	4.6719436389666e-05	3.41488629617742e-10
AIM45	1035	0.000179718041214054	2.43065768304832e-10
AIM46	933	8.29647931037352e-05	2.81679703202081e-10
AIM6	1173	0.000122528070626718	3.04536032206675e-10
AIM7	450	0.000179095706780796	3.38053615296528e-10
AIM9	1884	0.000135396998552015	3.7611717865462e-10
AIP1	1848	0.000182447108231068	2.4068498536585e-10
AIR1	1083	3.16441084537608e-05	2.71911671641718e-10
AIR2	1035	2.08384456571797e-05	2.91146818043365e-10
AKL1	3327	9.39546417909412e-05	5.41723286083193e-10
AKR1	2295	0.000106651038170118	5.5042720079258e-10
AKR2	2250	2.84578140599059e-05	6.38321096271832e-10
ALA1	2877	0.000271196859294324	4.31106317295902e-10
ALB1	528	6.72016956264805e-05	3.26290776238858e-10
ALD2	1521	2.82124600921173e-05	2.29396040006118e-10
ALD3	1521	8.45488474517951e-05	2.5665000602455e-10
ALD4	1560	0.000236831945651425	2.51048574694668e-10
ALD5	1563	0.000143848167325705	2.86457041736575e-10
ALD6	1503	0.00171315442158739	2.05940862409608e-10
ALE1	1860	9.03152616254518e-05	3.7234809814581e-10
ALF1	765	2.09762036378968e-05	3.78642623343107e-10
ALG1	1350	6.57665103522535e-05	3.91766997654797e-10
ALG11	1647	4.71345371439202e-05	3.94788273125618e-10
ALG12	1656	9.05854388479379e-05	3.948565692143e-10
ALG13	609	5.95165184000611e-05	2.4900752051723e-10
ALG14	714	5.90938004584107e-05	1.9067862525227e-10
ALG2	1512	5.25601286376322e-05	2.7252452739407e-10
ALG3	1377	3.2434067785093e-05	3.21665451301991e-10
ALG5	1005	5.95132181911022e-05	4.05616531047123e-10
ALG6	1635	8.13029417015515e-05	4.03910903506793e-10
ALG7	1347	6.27972789115345e-05	4.02158895595244e-10
ALG8	1734	5.64183083037386e-05	3.90061852942546e-10
ALG9	1668	9.49524893432678e-05	3.68628651568757e-10
ALK1	2283	6.83614173933329e-05	5.91483319491244e-10
ALK2	2031	3.17252865156283e-05	4.14190708325826e-10
ALO1	1581	0.000131606395619406	3.38285326975461e-10
ALP1	1722	6.82936656050237e-06	4.50504285938668e-10
ALR1	2580	3.28730098465459e-05	5.36688654037504e-10
ALR2	2577	9.96308624477522e-06	5.65889698913062e-10
ALT1	1779	0.000103472776024948	4.65312148079265e-10
ALT2	1524	4.1175083061912e-05	4.59914267819063e-10
ALY1	2748	2.36354612615793e-05	5.52031393530536e-10
ALY2	3141	2.12426775414861e-05	6.25319620111012e-10
AMA1	1782	4.83621732528751e-06	2.76165012644794e-10
AMD1	2433	8.01604139780768e-05	4.55473158894015e-10
AMD2	1650	2.32319789763499e-05	4.78822306219113e-10
AME1	975	3.05455951286056e-05	2.61470898568166e-10
AMF1	1548	1.19754371232455e-05	4.61741303920522e-10
AMN1	1650	0.000124729067454993	4.43451046298515e-10
AMS1	3252	8.1131839782229e-05	4.65119788757167e-10
ANB1	474	9.32760546826368e-06	1.35821915776505e-10
ANP1	1503	6.82102118715513e-05	4.41171776913265e-10
ANR2	1551	3.44676951527639e-05	3.09449701911235e-10
ANS1	480	9.35127959381765e-07	7.60630540509207e-10
ANT1	987	7.52195328786597e-05	2.94173330918333e-10
ANY1	1218	6.79557027428561e-05	4.17585256032179e-10
AOS1	1044	6.4964521683947e-05	2.0815018338806e-10
APA1	966	0.00023460676108912	1.64751203933002e-10
APA2	978	3.50873779115268e-05	2.57551189434107e-10
APC1	5247	1.92222529420773e-05	7.95760930630343e-10
APC11	498	6.01185878465193e-05	2.30764705015473e-10
APC2	2562	2.02443158232436e-05	4.96060026044952e-10
APC4	1959	1.61878812447955e-05	4.5578580446369e-10
APC5	2058	1.4874805091507e-05	3.83433356118777e-10
APC9	798	2.78991559611041e-05	2.81969663936375e-10
APD1	951	0.000179827761526537	3.7472240060979e-10
APE2	2859	0.000227233150390128	4.3082549048706e-10
APE3	1614	0.00122178465652162	4.2072259989376e-10
APE4	1473	9.75885063925084e-05	2.88508472661873e-10
API2	330	1.36018612273711e-07	1.76744100001296e-10
APJ1	1587	3.27100335735353e-05	3.18433657695547e-10
APL1	2103	5.5654120492735e-05	4.16368349637959e-10
APL2	2181	5.54336651135028e-05	4.60225534876838e-10
APL3	3078	3.34166973711238e-05	5.01765013450592e-10
APL4	2499	6.69250761422609e-05	4.27581302282176e-10
APL5	2799	6.78904903072703e-05	4.18192358617029e-10
APL6	2430	8.39906534579533e-05	4.26281774665332e-10
APM1	1428	4.67878308416725e-05	2.9908725234073e-10
APM2	1818	3.00105091651098e-05	4.47415288108008e-10
APM3	1452	4.99868400105889e-05	3.08577837831671e-10
APM4	1476	6.30717199270823e-05	5.32179883297167e-10
APN1	1104	5.51928784722063e-05	2.69817888049016e-10
APN2	1563	1.88676873493687e-05	3.80928476159235e-10
APP1	1764	5.55987643877321e-05	4.68550123853566e-10
APQ12	417	7.48102367505412e-05	1.69163593510054e-10
APQ13	417	0.000150696879785263	1.66666666666667e-09
APS1	471	6.57091187764308e-05	2.56943915753487e-10
APS2	444	0.000101853126386717	2.93513852753026e-10
APS3	585	7.18561915044942e-05	2.09565843337527e-10
APT1	564	0.000189492737981956	1.87385376678682e-10
APT2	546	2.75811367360512e-05	2.81039058082042e-10
AQR1	1761	3.58502889232151e-05	3.2576963859761e-10
AQY1	918	6.4297687141805e-06	6.87169174504351e-10
AQY2	450	3.37643535200776e-05	4.96885753538999e-10
AQY3	1941	1.95986632599949e-05	5.16269875181962e-10
ARA1	1035	0.000619949179332746	2.79270936963839e-10
ARA2	1008	3.26181538212925e-05	3.22639991275546e-10
ARB1	1833	0.000257942268023511	3.1119040844886e-10
ARC1	1131	0.000609852256247847	2.22192772756507e-10
ARC15	465	0.000289636277896773	2.15263797431498e-10
ARC18	537	0.000227815977948156	1.56409340656948e-10
ARC19	516	0.000248004633692782	1.63873731148922e-10
