GeneID,Length,TPM,Gene,d
A1BG,3382,1.2520289789859229e-19,A1BG,0.00011099109812497524
A1BG-AS1,1869,9.815260518176485e-19,A1BG-AS1,9.931184623177531e-05
A2M,4610,3.798302729368619e-18,A2M,0.0001231335442163409
A2M-AS1,2930,4.105856368609471e-19,A2M-AS1,0.00010574000968910033
A2ML1,5127,1.076138631288506e-19,A2ML1,0.00012761985979959967
A2ML1-AS1,452,6.008113190515257e-21,A2ML1-AS1,5.689281621153536e-05
A2ML1-AS2,386,5.9866634839593856e-21,A2ML1-AS2,5.391247902624903e-05
A2MP1,4130,5.966783004446623e-21,A2MP1,0.00011866665037483816
A3GALT2,1023,1.801100330964387e-20,A3GALT2,7.46785734802174e-05
A4GALT,2092,2.857582465120614e-19,A4GALT,9.80533834302313e-05
A4GNT,1779,2.983638019547872e-20,A4GNT,8.962227084414143e-05
AAAS,1815,3.298050559998896e-17,AAAS,0.00010277592863295671
AACS,3256,3.220747778184071e-17,AACS,0.00013929600884890752
AACSP1,1095,5.398928305261422e-20,AACSP1,7.637038413893724e-05
AACSP1,1095,1.3885542846726312e-19,AACSP1,0.00010463494313160241
AADAC,1563,1.7869915858135885e-20,AADAC,8.578644323145301e-05
AADACL2,1487,2.0237658114925993e-20,AADACL2,0.00012683983240956365
AADACL2-AS1,129,2.913212989841539e-20,AADACL2-AS1,6.339950996473299e-05
AADACL3,4055,5.973051999811958e-21,AADACL3,0.00011798522809013508
AADACL4,2027,5.965657536906369e-21,AADACL4,9.359858305547305e-05
AADACP1,1193,1.7895375381885898e-20,AADACP1,7.84365685118003e-05
AADAT,2250,2.5539102641718746e-18,AADAT,9.691999415651785e-05
AAGAB,3132,2.611571417726809e-17,AAGAB,0.00010829591486681843
AAK1,21157,3.671166157206858e-17,AAK1,0.00020443900132694552
AAMDC,522,1.0113374897675053e-18,AAMDC,6.66334548647151e-05
AAMP,1760,5.052679733989198e-17,AAMP,9.73160391928747e-05
AANAT,971,2.3616188248174925e-19,AANAT,9.195279412600424e-05
