"Gene" "Length" "MW" "Scof_St" "Scof_Unst" "Cromo"
"AAC3" 924 296789.8 9.89641962809542e-10 2.81092093016841e-10 "II"
"AAD10" 867 278559.4 1.44561432492168e-09 8.35846065880587e-10 "X"
"AAD14" 1131 363213.2 1.38415636412236e-09 5.48416785559185e-10 "XIV"
"AAD15" 432 139887.4 1.66666666666667e-09 6.12025997476205e-10 "XV"
"AAD3" 1092 351023.4 1.49438290234507e-09 9.33555823351476e-10 "III"
"AAD4" 990 318080 1.41474455557253e-09 5.24875462449834e-10 "IV"
"AAD6" 1127 362114.4 1.44047079629444e-09 6.42286299638845e-10 "VI"
"AAH1" 1044 336448.8 6.29677393174943e-10 2.19803015368751e-10 "XIV"
"AAP1" 2571 827375.2 1.20465064431937e-09 3.83253852519484e-10 "VIII"
"AAR2" 1068 342884.6 1.43248199776918e-09 9.83427783951926e-10 "II"
"AAT1" 1356 436104.2 1.15393403138978e-09 3.63265522951085e-10 "XI"
"AAT2" 1257 403999.4 7.07223195926106e-10 2.41942281120422e-10 "XII"
"ABD1" 1311 420699.2 1.14084326955544e-09 4.74664541884491e-10 "II"
"ABF1" 2196 702451.2 1.15292875923893e-09 4.95169201961159e-10 "XI"
"ABF2" 552 179512.4 6.27408288617967e-10 2.3581905921424e-10 "XIII"
"ABM1" 372 119268.4 1.32186787520032e-09 5.01700152729472e-10 "X"
"ABP1" 1779 569800.8 7.05774074556613e-10 3.5060521113957e-10 "III"
"ABP140" 1887 602428.6 8.13392665117582e-10 4.12955394998713e-10 "XV"
"ABZ1" 2364 759296.8 1.26936395317612e-09 5.00378372934042e-10 "XIV"
"ABZ2" 1125 361298 1.18772102189007e-09 4.37510126250163e-10 "XIII"
"ACA1" 1470 469520 1.21629984213183e-09 5.66623401717934e-10 "V"
"ACB1" 264 84550.8 7.89440699835383e-10 2.09534267414853e-10 "VII"
"ACC1" 6702 2157094.4 1.3525755252425e-09 7.31554517474312e-10 "XIV"
"ACE2" 2313 739587.6 1.36064027894758e-09 6.58454276202349e-10 "XII"
"ACF2" 2340 754144 1.25842022276988e-09 5.33059002936714e-10 "XII"
"ACF4" 930 296448 8.9494392987634e-10 3.90925775677076e-10 "X"
"ACH1" 1581 507720.2 1.13721758530842e-09 3.54490111542192e-10 "II"
"ACK1" 1872 600451.4 1.23337610413269e-09 6.07517752323012e-10 "IV"
