GeneID	Length	TPM
A1BG	3382	9.15693088620459e-08
A1BG-AS1	1869	1.00207139357876e-06
A2M	4610	2.03451283994872e-06
A2M-AS1	2930	3.47284751786597e-07
A2ML1	5127	5.17742042249334e-08
A2ML1-AS1	452	3.26261486063463e-08
A2ML1-AS2	386	3.82047128758252e-08
A2MP1	4130	3.57070682083984e-09
A3GALT2	1023	4.32463905280602e-08
A4GALT	2092	3.03117506841753e-07
A4GNT	1779	4.14474962621375e-08
AAAS	1815	3.03796719982844e-05
AACS	3256	1.19162799251997e-05
AACSP1	1095	1.21208376740289e-07
AADAC	1563	2.83052191364079e-08
AADACL2	1487	9.91729601215099e-09
AADACL2-AS1	129	1.14317978062547e-07
AADACL3	4055	3.63674948706992e-09
AADACL4	2027	7.27529312780885e-09
AADACP1	1193	3.70838705031061e-08
AADAT	2250	2.80521075768415e-06
AAGAB	3132	2.05620155541792e-05
AAK1	21157	4.29647994348454e-06
AAMDC	522	3.41837034401972e-06
AAMP	1760	5.48237195623627e-05
AANAT	971	3.03749107519434e-07
AAR2	2417	1.79197332654081e-05
AARD	2291	1.95682838398116e-06
AARS1	3437	3.4591349592404e-05
AARS1P1	453	3.25541262032418e-08
AARS2	4798	6.69424921892648e-06
AARSD1	1320	1.11719842197489e-08
AARSD1P1	1182	7.48579653302971e-08
AASDH	3581	2.89092640530246e-06
AASDHPPT	2767	1.20235906207715e-05
AASS	5825	1.3645739626896e-06
AATBC	4598	4.58639352179165e-07
AATF	2141	2.56230319068916e-05
AATK	5461	4.88776866834353e-07
ABALON	1903	1.0074159180814e-07
ABAT	4779	2.70315731177653e-06
ABCA1	10408	1.38855484114788e-07
ABCA10	6008	2.45456377664257e-09
ABCA11P	2110	2.72575235844869e-07
ABCA12	9298	3.33068834772466e-08
ABCA13	17188	5.67127046277362e-07
ABCA17P	3478	4.02808171695374e-07
ABCA2	8103	4.11489699414105e-06
ABCA3	6602	7.81801985689789e-07
ABCA3P1	637	2.31507365307198e-08
ABCA4	7328	2.11304177518722e-07
ABCA5	8252	5.41486525512696e-07
ABCA6	5321	2.77147513062743e-09
ABCA7	6815	4.86878842738873e-07
ABCA8	6002	9.82807009001568e-09
ABCA9	6377	4.62506481733371e-09
ABCA9-AS1	445	3.31393689215023e-08
