"Gene" "Weight_wo_mod" "M6ARatio" "M6AWeight" "Weight_w_M6A"
"A1BG" 1085408.4 0 0 1085408.4
"A1BG-AS1" 777556.4 0 0 777556.4
"A1CF" 2953557.2 0 0 2953557.2
"A1CF" 2953643.2 0 0 2953643.2
"A2M" 1482033 0 0 1482033
"A2M-AS1" 938527 0 0 938527
"A2ML1" 1649998.4 0 0 1649998.4
"A2ML1-AS1" 146184.4 0 0 146184.4
"A2ML1-AS2" 124393.2 0 0 124393.2
"A2MP1" 1326523 0 0 1326523
"A3GALT2" 330610.6 0 0 330610.6
"A4GALT" 748370.2 0 0 748370.2
"A4GNT" 571447.8 0 0 571447.8
"AAAS" 861793 0.141195268 0 861793
"AACS" 2145580.2 0.145442646 12.027 2145592.227
"AACSP1" 353593 0 0 353593
"AACSP1" 909408.4 0 0 909408.4
"AADAC" 501169.6 0 0 501169.6
"AADACL2" 1619928 0 0 1619928
"AADACL2-AS1" 202295.6 0 0 202295.6
"AADACL3" 1303802 0 0 1303802
"AADACL4" 650933.4 0 0 650933.4
"AADACP1" 383075.6 0 0 383075.6
"AADAT" 722718 0.429485331 12.027 722730.027
"AAGAB" 1008242.4 0.107581241 0 1008242.4
"AAK1" 6782971.4 0.315317347 60.135 6783031.535
"AAMDC" 234858.2 0.37317522 0 234858.2
"AAMP" 731614 0.152238513 12.027 731626.027
"AANAT" 617196.6 0 0 617196.6
"AAR2" 1257143.6 0.675219397 0 1257143.6
"AARD" 739321.2 0.718523819 0 739321.2
"AARS1" 1935231.8 0 0 1935231.8
"AARS1P1" 146741.6 0 0 146741.6
"AARS2" 1551398.6 0.658631723 24.054 1551422.654
"AARSD1" 427742 0.276347236 0 427742
"AARSD1P1" 382784.4 0 0 382784.4
"AASDH" 1149860.2 0.640491929 24.054 1149884.254
"AASDHPPT" 1649322 0.051705874 12.027 1649334.027
"AASS" 2748813.8 0.30422 0 2748813.8
"AATBC" 1486799.6 0 0 1486799.6
"AATF" 1306150 0 0 1306150
"AATK" 3843308.6 0 0 3843308.6
"ABALON" 611217.6 0 0 611217.6
"ABAT" 1795196.2 0.59651185 48.108 1795244.308
"ABCA1" 3346201.6 0 0 3346201.6
"ABCA10" 2042225.4 0 0 2042225.4
"ABCA11P" 678196 0 0 678196
"ABCA12" 2984941.6 0 0 2984941.6
"ABCA13" 5510107.6 0 0 5510107.6
"ABCA15P" 649905.6 0 0 649905.6
"ABCA17P" 1345192.6 0 0 1345192.6
"ABCA2" 2623127.2 0.154890408 48.108 2623175.308
"ABCA3" 2124134.4 0 0 2124134.4
"ABCA3P1" 205338.4 0 0 205338.4
"ABCA4" 2355619.6 0 0 2355619.6
"ABCA5" 2644305.4 0 0 2644305.4
"ABCA6" 2624662.2 0 0 2624662.2
"ABCA7" 2218957.6 0 0 2218957.6
"ABCA8" 1927009.4 0 0 1927009.4
"ABCA9" 2047834.4 0 0 2047834.4
"ABCA9-AS1" 268551.6 0 0 268551.6
"ABCB1" 1675893 0.231833697 0 1675893
"ABCB10" 1243205.8 0.217757796 12.027 1243217.827
"ABCB10P1" 703239.2 0 0 703239.2
"ABCB10P3" 698428.2 0 0 698428.2
"ABCB10P4" 704164.8 0 0 704164.8
"ABCB11" 2234867.8 0 0 2234867.8
"ABCB4" 1384390.6 0 0 1384390.6
"ABCB5" 1720862 0 0 1720862
"ABCB6" 967704.6 0 0 967704.6
"ABCB7" 1473808 0.111912677 24.054 1473832.054
"ABCB8" 1498146.2 0.320132717 0 1498146.2
"ABCB9" 1945450.2 0.366624763 0 1945450.2
"ABCC1" 2119438.8 0 0 2119438.8
"ABCC10" 1636498.6 0.426232952 12.027 1636510.627
"ABCC11" 1894631.8 0 0 1894631.8
"ABCC12" 2374767 0 0 2374767
"ABCC13" 1234749.4 0 0 1234749.4
"ABCC2" 1863280.2 0 0 1863280.2
"ABCC3" 1828822.6 0.243488582 0 1828822.6
"ABCC4" 1982223.2 0.099466904 12.027 1982235.227
"ABCC5" 1881164.4 0.253179018 12.027 1881176.427
"ABCC5-AS1" 149858.8 0 0 149858.8
"ABCC6" 1674271.6 0 0 1674271.6
"ABCC6P1" 375672 0 0 375672
"ABCC6P1" 945287.6 0 0 945287.6
"ABCC6P2" 189454 0 0 189454
"ABCC6P2" 227007.2 0 0 227007.2
"ABCC8" 2108502 0 0 2108502
"ABCC9" 2834728.8 0 0 2834728.8
"ABCD1" 1181921.8 0 24.054 1181945.854
"ABCD1P2" 514300.2 0 0 514300.2
"ABCD1P3" 195693 0 0 195693
"ABCD1P4" 195395.8 0 0 195395.8
"ABCD1P5" 243850.8 0 0 243850.8
"ABCD2" 2019072 0 0 2019072
"ABCD3" 1400552.4 0.05404233 24.054 1400576.454
"ABCD4" 976252 0.274307678 12.027 976264.027
"ABCE1" 1248161.4 0.075630589 36.081 1248197.481
"ABCF1" 1108076.2 0 0 1108076.2
"ABCF2" 1458875.4 0.374886955 24.054 1458899.454
"ABCF2-H2BK1" 705709 0 0 705709
"ABCF2P1" 602621.4 0 0 602621.4
"ABCF2P2" 95495.2 0 0 95495.2
"ABCF3" 918885.8 0.396882518 12.027 918897.827
"ABCG1" 1117126 0 0 1117126
"ABCG2" 1551612.8 0 0 1551612.8
"ABCG4" 1222926.4 0 0 1222926.4
"ABCG5" 975616.6 0 0 975616.6
"ABCG8" 2305420 0 0 2305420
"ABHD1" 998672.4 0 0 998672.4
"ABHD10" 835708.8 0.15496038 24.054 835732.854
"ABHD11" 503200.4 0 24.054 503224.454
"ABHD12" 654978 0.23445658 24.054 655002.054
"ABHD12B" 916814.6 0 0 916814.6
"ABHD13" 1703272.6 0.545963275 12.027 1703284.627
"ABHD14A" 342735.2 0.28709493 12.027 342747.227
"ABHD14A-ACY1" 1169889.6 0 0 1169889.6
"ABHD14B" 717974.2 0.154889993 24.054 717998.254
"ABHD15" 1123612.4 0.887288103 12.027 1123624.427
"ABHD15-AS1" 60558.4 0 0 60558.4
"ABHD16A" 725530 0 0 725530
"ABHD16B" 481164.2 0 0 481164.2
"ABHD17A" 1751423 0.369460366 24.054 1751447.054
"ABHD17AP1" 299880.6 0 0 299880.6
"ABHD17AP3" 365680.4 0 0 365680.4
"ABHD17AP4" 292290.8 0 0 292290.8
"ABHD17AP5" 296758.6 0 0 296758.6
