GeneID	Length	TPM
A1BG	3382	4.47449794635741e-07
A1BG-AS1	1869	1.04600747358605e-05
A2M	4610	1.25359551228954e-05
A2M-AS1	2930	1.21441696222537e-06
A2ML1	5127	1.03704171719171e-07
A2ML1-AS1	452	1.80970486182501e-07
A2ML1-AS2	386	1.05956813153485e-07
A2MP1	4130	9.90298544243228e-09
A3GALT2	1023	3.99797946014128e-08
A4GALT	2092	1.62267895784482e-06
A4GNT	1779	2.29900673846236e-08
AAAS	1815	6.4267156369093e-05
AACS	3256	3.76836577493047e-05
AACSP1	1095	6.34966765217507e-07
AADAC	1563	2.61671976181992e-07
AADACL2	1487	2.75045930579995e-08
AADACL2-AS1	129	1.26819627526342e-06
AADACL3	4055	1.00861479352023e-08
AADACL4	2027	2.01772717697313e-08
AADACP1	1193	3.42827576506667e-08
AADAT	2250	1.27060584818642e-05
AAGAB	3132	5.96252682693174e-05
AAK1	21157	7.11586866182068e-05
AAMDC	522	6.50315015289533e-06
AAMP	1760	0.000132922822101047
AANAT	971	9.68779183498087e-07
AAR2	2417	6.130669099928e-05
AARD	2291	8.44407814576039e-06
AARS1	3437	0.000292423663777546
AARS1P1	453	9.02854964177601e-08
AARS2	4798	5.37624163267583e-05
AARSD1	1320	6.19686816321899e-08
AARSD1P1	1182	7.9584144431188e-07
AASDH	3581	1.58983153278764e-05
AASDHPPT	2767	3.37896162267376e-05
AASS	5825	8.30625017077789e-06
AATBC	4598	2.91756855148684e-06
AATF	2141	9.43874773112887e-05
AATK	5461	1.82740093207249e-06
ABALON	1903	5.58792736105296e-07
ABAT	4779	1.7946410285119e-05
ABCA1	10408	9.70612459615642e-07
ABCA10	6008	3.40373917087594e-08
ABCA11P	2110	5.23356353879443e-07
ABCA12	9298	1.01170637467912e-07
ABCA13	17188	1.82747762076591e-06
ABCA17P	3478	3.03393533879508e-06
ABCA2	8103	2.76195400577917e-05
ABCA3	6602	4.99935765085383e-06
ABCA3P1	637	6.42061693520335e-08
ABCA4	7328	4.74405436621978e-07
ABCA5	8252	1.87843504889433e-06
ABCA6	5321	7.68639915001792e-09
ABCA7	6815	2.19650106163929e-06
ABCA8	6002	6.81428355169033e-09
ABCA9	6377	6.4135690571186e-09
ABCA9-AS1	445	9.19086064657199e-08
ABCB1	5205	9.14636310799492e-06
ABCB10	3869	3.41972944308319e-05
ABCB10P1	2181	1.87525584031386e-08
ABCB10P3	2163	1.89086129806959e-08
ABCB10P4	2183	1.87353778640611e-08
ABCB11	2040	2.00486911162967e-08
ABCB4	4293	4.44910017532578e-06
ABCB5	5350	5.35131418954612e-08
ABCB6	2980	1.0979685873086e-07
ABCB7	4592	2.34957387230342e-05
ABCB8	4656	5.3232375226827e-06
ABCB9	3484	6.6561194145804e-06
ABCC1	6518	3.20769214993063e-05
ABCC10	5043	9.72403262399706e-06
ABCC11	5894	1.38782931378505e-07
ABCC12	7385	5.53816247491474e-09
ABCC13	3842	2.12906454332355e-08
ABCC2	5806	2.74728533450322e-06
ABCC3	5693	1.09342666560983e-05
ABCC4	5855	5.24740847203872e-05
ABCC5	5790	3.23804020997051e-05
ABCC5-AS1	469	1.74410788389106e-07
ABCC6	5753	2.34604186676359e-07
ABCC6P1	2943	4.16914677647761e-08
ABCC6P2	590	2.07962694291078e-07
