"Gene" "Cannonical" "Length" "Cromo"
"HELLPAR" 1 205012 "12"
"TTN" 1 109224 "2"
"KCNQ1OT1" 1 91667 "11"
"MUC16" 1 46191 "HG2461_PATCH"
"PPM1F-AS1" 1 37852 "22"
"TSIX" 1 37027 "X"
"SMAD2" 1 34626 "18"
"FLRT2" 1 33681 "14"
"GRIN2B" 1 30609 "12"
"LRRC7" 1 27923 "1"
"SYNE1" 1 27708 "6"
"ZBTB20" 1 27503 "3"
"OBSCN" 1 27019 "1"
"RPS6KA5" 1 26829 "14"
"SH3TC2" 1 26468 "5"
"NEB" 1 26191 "2"
"" 1 25672 "6"
"PTCHD4" 1 25280 "6"
"MGAT4C" 1 25268 "12"
"DST" 1 24709 "6"
"MUC19" 1 24669 "12"
"MACF1" 1 24340 "1"
"NOPCHAP1" 1 23524 "12"
"MUC4" 1 23128 "HSCHR3_1_CTG3"
"SRGAP1" 1 22920 "12"
"NEAT1" 1 22743 "11"
"SYNE2" 1 21822 "14"
"ARIH1" 1 21679 "15"
"CCDC168" 1 21470 "13"
"AAK1" 1 21157 "2"
"SLC8A1" 1 21116 "2"
"RNF213" 1 21079 "17"
"CNKSR3" 1 21078 "6"
"HYDIN" 1 21046 "16"
"FSIP2" 1 20879 "2"
"KMT2D" 1 20635 "12"
"NKAIN3" 1 20374 "8"
"NCKAP1" 1 20332 "2"
"PCLO" 1 20284 "7"
"XKR4" 1 20241 "8"
"TF" 1 20166 "3"
"DNAJC10" 1 20144 "2"
"NTRK3" 1 20018 "15"
"PKHD1L1" 1 19969 "8"
"DYNC1H1" 1 19940 "14"
"AGO3" 1 19660 "1"
"KCNJ6" 1 19659 "21"
"NBPF20" 1 19578 "1"
"FGF13" 1 19575 "X"
"ADGRV1" 1 19557 "5"
"FAT3" 1 19504 "11"
"TTC7B" 1 19471 "14"
"XIST" 1 19236 "X"
"ZBTB37" 1 19183 "1"
"MIR23AHG" 1 19049 "HG109_PATCH"
"USH2A" 1 18938 "1"
"USP8" 1 18865 "15"
"PHF3" 1 18797 "6"
"AHNAK" 1 18761 "11"
"PEX26" 1 18626 "22"
"MDN1" 1 18485 "6"
"HMCN1" 1 18368 "1"
"FSIP2LP" 1 18351 "X"
"AHNAK2" 1 18335 "14"
"LPP" 1 18316 "3"
"ZNF445" 1 18314 "3"
"TNRC6B" 1 18280 "22"
"ZC3H14" 1 18153 "14"
"PCNX4" 1 18069 "14"
"MUC5B" 1 17911 "11"
"KSR2" 1 17775 "12"
"BRWD1" 1 17728 "21"
"SLC35E3" 1 17722 "12"
"ZNF26" 1 17697 "12"
"DGKH" 1 17497 "13"
"MUC5AC" 1 17448 "HG107_HG2565_PATCH"
"ZNF891" 1 17294 "12"
"ABCA13" 1 17188 "7"
"IGSF9B" 1 17159 "11"
"FAT4" 1 17151 "4"
"NKD1" 1 17039 "16"
"DYRK1A" 1 17024 "21"
"ANK3" 1 17019 "10"
"HEMK1" 1 16993 "3"
"ITSN1" 1 16972 "21"
"RPAP2" 1 16899 "1"
"KMT2C" 1 16860 "7"
"GABPB1-AS1" 1 16693 "15"
"KMT2A" 1 16600 "11"
"RYR2" 1 16583 "1"
"CCDC85C" 1 16564 "14"
"ONECUT2" 1 16433 "18"
"CACNA1E" 1 16420 "1"
"SPATA31H1" 1 16403 "2"
"FCGBP" 1 16398 "HG2021_PATCH"
"MUC12" 1 16366 "7"
"VPS13D" 1 16357 "1"
"NBEAL1" 1 16349 "2"
"PKHD1" 1 16271 "6"
"EPHA6" 1 16254 "3"
"NLGN1" 1 16241 "3"
"EPN1" 1 16219 "19"
"KALRN" 1 16188 "3"
"BLTP1" 1 16162 "4"
"GUCY1A2" 1 16150 "11"
"FREM2" 1 16122 "13"
"SMG1" 1 16062 "16"
"CIITA" 1 16061 "16"
"EPPK1" 1 16005 "8"
"LCOR" 1 16001 "10"
"CHST12" 1 15985 "7"
"BSN" 1 15971 "3"
"UBR4" 1 15892 "1"
"FRAS1" 1 15871 "4"
"CNNM2" 1 15857 "10"
"LRP1B" 1 15850 "2"
"STX7" 1 15845 "6"
"ZFHX3" 1 15817 "16"
"SSPOP" 1 15799 "7"
"HMCN2" 1 15789 "9"
"DNAH5" 1 15781 "5"
"HECTD4" 1 15752 "12"
"SNX19" 1 15691 "11"
"BIRC6" 1 15687 "2"
"LRRK1" 1 15674 "15"
"LRP2" 1 15657 "2"
"STARD9" 1 15637 "15"
"SACS" 1 15635 "13"
"STXBP4" 1 15590 "17"
"MUC2" 1 15574 "HG107_HG2565_PATCH"
"RYR3" 1 15568 "15"
"KLRD1" 1 15563 "12"
"FAM83F" 1 15561 "22"
"RAB21" 1 15558 "12"
"MRPL42" 1 15557 "12"
"RBM28" 1 15507 "7"
"CEP250" 1 15434 "20"
"MPRIP" 1 15419 "17"
"RYR1" 1 15400 "19"
"PPIP5K2" 1 15369 "5"
"HERC2" 1 15364 "15"
"DLX6-AS1" 1 15364 "7"
"HIPK2" 1 15329 "7"
"PPP1R12B" 1 15244 "1"
"VPS13A" 1 15227 "9"
"HERC1" 1 15197 "15"
"GAN" 1 15159 "16"
"KYNU" 1 15151 "2"
"OPRM1" 1 15143 "6"
"LONRF2" 1 15096 "2"
"MYCBP2" 1 15077 "13"
"AKAP6" 1 14984 "14"
"USP15" 1 14971 "12"
"LRP1" 1 14923 "12"
"DNHD1" 1 14876 "11"
"ARFGEF3" 1 14859 "6"
"MUC6" 1 14829 "HSCHR11_2_CTG1"
"MFSD4B" 1 14805 "6"
"PLEC" 1 14804 "8"
"FAT1" 1 14776 "4"
"HUWE1" 1 14731 "X"
"FAT2" 1 14710 "5"
"GRIN2A" 1 14706 "16"
"ZNF483" 1 14694 "9"
"UBN2" 1 14692 "7"
"TMEM8B" 1 14670 "9"
"DNAH8" 1 14663 "6"
"RIF1" 1 14662 "2"
"POLK" 1 14623 "5"
"CFLAR" 1 14612 "2"
"UNC13B" 1 14600 "9"
"AGO2" 1 14595 "8"
"GREM1" 1 14575 "HSCHR15_6_CTG8"
"CDKL5" 1 14572 "X"
"DNAH2" 1 14563 "17"
"WDFY3" 1 14559 "4"
"SHROOM4" 1 14557 "X"
"CSMD1" 1 14417 "8"
"ZNF704" 1 14386 "8"
"TENM4" 1 14381 "11"
"PLA2R1" 1 14376 "2"
"MUC17" 1 14352 "7"
"HOOK3" 1 14348 "8"
"DNAH11" 1 14343 "7"
"HSPG2" 1 14341 "1"
"SLC35A3" 1 14321 "1"
"TTL" 1 14267 "2"
"LINGO2" 1 14226 "9"
"MTCL2" 1 14218 "20"
"ANK2" 1 14215 "4"
"SYT16" 1 14213 "14"
"CLSTN2" 1 14202 "3"
"STRN" 1 14174 "2"
"SOD2" 1 14167 "6"
"SUGT1" 1 14161 "13"
"HYDIN2" 1 14154 "1"
"PKD1" 1 14140 "16"
"SZT2" 1 14136 "1"
"INO80D" 1 14128 "HSCHR2_6_CTG7_2"
"APOB" 1 14121 "HG2231_HG2496_PATCH"
"PDK1" 1 14072 "2"
"DNAH14" 1 14065 "1"
"IGF2R" 1 14061 "6"
"DNAH10" 1 14039 "12"
"GPRIN3" 1 14037 "4"
"GPATCH2L" 1 14021 "14"
"VPS13B" 1 14011 "8"
"NRDE2" 1 14008 "14"
"DMD" 1 13992 "X"
"ZFHX4" 1 13987 "8"
"CEP43" 1 13956 "6"
"NBPF19" 1 13941 "1"
"UNC80" 1 13917 "2"
"FAM204A" 1 13898 "10"
"ST8SIA5" 1 13897 "18"
"ZNF431" 1 13894 "19"
"PLEKHA3" 1 13892 "2"
"NAV1" 1 13891 "1"
"POU2F1" 1 13843 "1"
"HELZ" 1 13817 "17"
"ZNF469" 1 13770 "16"
"FZD3" 1 13770 "8"
"AFF2" 1 13748 "X"
"CACNA1C" 1 13744 "12"
"ZNF207" 1 13740 "17"
"ADGRL3" 1 13738 "4"
"DNAH17" 1 13725 "17"
"CUX1" 1 13723 "7"
"AGO1" 1 13712 "1"
"DNAH9" 1 13711 "17"
"USF3" 1 13704 "3"
"DTWD1" 1 13699 "15"
"DYNC2H1" 1 13683 "11"
"CSMD2" 1 13655 "1"
"NHSL2" 1 13633 "X"
"KIF26B" 1 13593 "1"
"PUS7L" 1 13567 "12"
"KCNK12" 1 13564 "2"
"SYNE3" 1 13557 "14"
"TENM1" 1 13547 "X"
"WTIP" 1 13545 "19"
"FMN1" 1 13511 "15"
"KCTD16" 1 13488 "5"
"HTT" 1 13472 "4"
"DGKI" 1 13469 "7"
"LYST" 1 13466 "1"
"PRKDC" 1 13459 "8"
"CEP350" 1 13414 "1"
"MAP2K6" 1 13405 "17"
"VPS13C" 1 13403 "15"
"ZNF268" 1 13390 "12"
"RAP1B" 1 13378 "12"
"FRK" 1 13363 "6"
"ILDR2" 1 13360 "1"
"PTPN14" 1 13360 "1"
"DCHS2" 1 13354 "4"
"AKAP13" 1 13327 "15"
"NFAT5" 1 13289 "16"
"MON2" 1 13263 "12"
"SLFN12L" 1 13219 "17"
"INTU" 1 13208 "4"
"HYCC1" 1 13178 "7"
"ATG2B" 1 13162 "14"
"NAP1L1" 1 13159 "12"
"CNTNAP3" 1 13150 "9"
"TNXB" 1 13125 "HSCHR6_MHC_DBB_CTG1"
"NSL1" 1 13115 "1"
"DNAH1" 1 13105 "3"
"B3GALT5" 1 13097 "21"
"ENAH" 1 13092 "1"
"VPS53" 1 13089 "HG2285_HG106_HG2252_PATCH"
"FGF14" 1 13071 "13"
"MLYCD" 1 13054 "16"
"CSMD3" 1 13052 "8"
"NSD1" 1 13042 "5"
"PGR" 1 13037 "11"
"SSH1" 1 13034 "12"
"KCNN3" 1 13034 "1"
"NBPF10" 1 13030 "1"
"CPSF2" 1 13003 "14"
"TRIM44" 1 12994 "11"
"CSNK2A1" 1 12984 "20"
"PLXNA4" 1 12959 "7"
"DDHD1" 1 12941 "14"
"KIAA1549L" 1 12933 "11"
"HIF1AN" 1 12927 "10"
"BRWD3" 1 12921 "X"
"TRDMT1" 1 12918 "10"
"UTRN" 1 12918 "6"
"ATM" 1 12915 "11"
"CEP57L1" 1 12903 "6"
"CMYA5" 1 12888 "5"
"PTCHD1" 1 12883 "X"
"PCNX1" 1 12865 "14"
"AP1M1" 1 12859 "19"
"ASXL2" 1 12849 "2"
"ALMS1" 1 12844 "2"
"ZBTB8B" 1 12831 "1"
"BNC2" 1 12808 "9"
"FUT9" 1 12793 "6"
"FLG" 1 12793 "1"
"RAB3B" 1 12780 "1"
"TNR" 1 12774 "1"
"NCBP3" 1 12772 "17"
"DNAH6" 1 12752 "2"
"CLMN" 1 12749 "14"
"FRY" 1 12729 "13"
"PRNCR1" 1 12727 "8"
"MKI67" 1 12716 "10"
"EPG5" 1 12688 "18"
"XIRP2" 1 12682 "2"
"TLR4" 1 12677 "9"
"DCUN1D5" 1 12675 "11"
"TRRAP" 1 12675 "7"
"DNM1P47" 1 12667 "15"
"ADCY1" 1 12657 "7"
"PHC3" 1 12652 "3"
"TAOK1" 1 12643 "17"
"ZNF562" 1 12639 "19"
"FMNL3" 1 12625 "12"
"PTPRT" 1 12622 "20"
"HIVEP3" 1 12617 "1"
"NEGR1" 1 12613 "1"
"DISP2" 1 12612 "15"
"PRUNE2" 1 12612 "9"
"ZNF141" 1 12601 "4"
"ZDHHC3" 1 12594 "3"
"PLEKHG4B" 1 12591 "5"
"DNAH3" 1 12567 "16"
"ITPR2" 1 12564 "12"
"SV2B" 1 12563 "15"
"USP9X" 1 12543 "X"
"HDGFL3" 1 12538 "15"
"CD226" 1 12518 "18"
"TANC2" 1 12511 "17"
"KIAA1549" 1 12498 "7"
"ENTPD1" 1 12493 "10"
"PDE3A" 1 12486 "12"
"PLCE1" 1 12481 "10"
"POLR1A" 1 12480 "2"
"MYO9A" 1 12478 "15"
"AKAP9" 1 12476 "7"
"DNAH7" 1 12419 "2"
"SPEN" 1 12385 "1"
"LSM8" 1 12384 "7"
"NF1" 1 12373 "17"
"KRBA2" 1 12370 "17"
"TMEM106B" 1 12351 "7"
"VCAN" 1 12345 "5"
"ZNF292" 1 12341 "6"
"DSC2" 1 12331 "18"
"AGBL1" 1 12330 "15"
"TRPM3" 1 12320 "9"
"MBNL3" 1 12302 "X"
"PTPRB" 1 12301 "12"
"CCDC80" 1 12301 "3"
"EP400" 1 12289 "12"
"PLXDC2" 1 12275 "10"
"TSHZ2" 1 12236 "20"
"IGF1R" 1 12235 "15"
"ABL2" 1 12217 "1"
"SVEP1" 1 12205 "9"
"MGA" 1 12193 "15"
"ZNF264" 1 12163 "19"
"DNAH12" 1 12145 "3"
"TRPC5" 1 12143 "X"
"PRTG" 1 12142 "15"
"CDH7" 1 12136 "18"
"LNPEP" 1 12134 "5"
"MYO5A" 1 12130 "15"
"SCAI" 1 12111 "9"
"AJAP1" 1 12102 "1"
"ERBB4" 1 12097 "2"
"BMPR2" 1 12068 "2"
"TET3" 1 12060 "2"
"NRXN3" 1 12048 "14"
"SYT14" 1 12046 "1"
"FER" 1 12044 "5"
"ASH1L" 1 12037 "1"
"TLN2" 1 12023 "15"
"NOS1" 1 12007 "12"
"HECW2" 1 12006 "2"
"SLC1A2" 1 12006 "11"
"PEAK1" 1 12003 "15"
"PDZD2" 1 11984 "5"
"NRG1" 1 11983 "8"
"YIPF4" 1 11955 "2"
"BRCA2" 1 11954 "13"
"CAMK4" 1 11942 "5"
"SCN1A" 1 11940 "2"
"SLC16A7" 1 11936 "12"
"CELSR3" 1 11933 "3"
"CUBN" 1 11927 "10"
"PHIP" 1 11926 "6"
"KCNB1" 1 11871 "20"
"KCNA2" 1 11829 "1"
"IGFN1" 1 11811 "1"
"MYO15A" 1 11811 "17"
"KIAA1958" 1 11795 "9"
"MAP1B" 1 11790 "5"
"ACVR2B" 1 11782 "3"
"TTC28" 1 11770 "22"
"SLC4A8" 1 11764 "12"
"ASXL3" 1 11760 "18"
"SEMA5A" 1 11755 "5"
"CSRNP3" 1 11737 "2"
"MAVS" 1 11731 "20"
"COL12A1" 1 11725 "6"
"SRCAP" 1 11724 "16"
"NEXMIF" 1 11717 "X"
"SP3" 1 11714 "2"
"RELN" 1 11708 "7"
"RANBP2" 1 11708 "2"
"PSD3" 1 11704 "8"
"SPTBN5" 1 11699 "15"
"ZBED6" 1 11697 "1"
"FRYL" 1 11692 "4"
"AP5M1" 1 11675 "14"
"USP34" 1 11675 "2"
"SYT15B" 1 11673 "10"
"CDK6" 1 11663 "7"
"NDUFS1" 1 11660 "HSCHR2_6_CTG7_2"
"ZNF652" 1 11628 "17"
"FBN1" 1 11609 "15"
"CHD7" 1 11606 "8"
"KCNQ3" 1 11583 "8"
"PRLR" 1 11581 "5"
"FTO" 1 11573 "16"
"SLC5A3" 1 11566 "21"
"LRIG2" 1 11566 "1"
"CELSR1" 1 11559 "22"
"SCN8A" 1 11559 "12"
"MMP16" 1 11551 "8"
"SDR42E1" 1 11548 "16"
"CHD9" 1 11547 "16"
"CBX5" 1 11546 "12"
"ZC3H6" 1 11539 "2"
"DMXL1" 1 11538 "5"
"LINC01934" 1 11533 "2"
"FAXC" 1 11528 "6"
"FHIP1A" 1 11517 "4"
"PURA" 1 11511 "5"
"MAP3K9" 1 11511 "14"
"PLXNA2" 1 11508 "1"
"SH3PXD2A" 1 11501 "10"
"NAV2" 1 11492 "11"
"TEX15" 1 11476 "8"
"ZZEF1" 1 11466 "17"
"TRIO" 1 11460 "5"
"RC3H1" 1 11451 "1"
"MYO10" 1 11442 "5"
"LIMD1" 1 11442 "3"
"RNF217" 1 11433 "6"
"LAMA5" 1 11426 "20"
"NOTCH2" 1 11425 "1"
"IPO9" 1 11416 "1"
"DPF3" 1 11413 "14"
"WNK3" 1 11384 "X"
"CHST9" 1 11379 "18"
"ZNF883" 1 11370 "9"
"MAP3K2" 1 11360 "2"
"RGMA" 1 11359 "15"
"PSD4" 1 11342 "2"
"TMEM132B" 1 11325 "12"
"VWC2" 1 11322 "7"
"TULP4" 1 11318 "6"
"CPLANE1" 1 11302 "5"
"ZNF142" 1 11290 "2"
"KPNA5" 1 11288 "6"
"ANKRD12" 1 11284 "18"
"KCNH5" 1 11283 "14"
"C15orf40" 1 11274 "15"
"MUC3A" 1 11248 "7"
"PIAS2" 1 11243 "18"
"RSF1" 1 11242 "11"
"PRRC2B" 1 11238 "9"
"CEP78" 1 11233 "9"
"ZNF81" 1 11230 "X"
"CHFR" 1 11228 "12"
"CNTNAP5" 1 11219 "2"
