"Weight" "Gene"
1219507.2 "TSPAN6"
387977 "TNMD"
962549.8 "DPM1"
2024272.6 "SCYL3"
1394352 "FIRRM"
849053.4 "FGR"
2243835 "CFH"
766864 "FUCA2"
1218223 "GCLC"
1997505.8 "NFYA"
1931713.2 "STPG1"
1763758.2 "NIPAL3"
2426345 "LAS1L"
1488600.8 "ENPP4"
1160684.4 "SEMA3F"
2001010.6 "CFTR"
2038269 "ANKIB1"
1013478 "CYP51A1"
2147162.6 "KRIT1"
971729.6 "RAD52"
1893452.2 "MYH16"
373677.4 "BAD"
712123.8 "LAP3"
409859.6 "CD99"
409859.6 "CD99"
2300913 "HS3ST1"
1007816 "AOC1"
1013841 "WNT16"
3040505.6 "HECW1"
970536.2 "MAD1L1"
1293752.6 "LASP1"
961796.4 "SNX11"
661091 "TMEM176A"
786993 "M6PR"
1709621.2 "KLHL13"
1464445.2 "CYP26B1"
785787 "ICA1"
928354.8 "DBNDD1"
2976243.2 "ALS2"
1819086.6 "CASP10"
4693936.4 "CFLAR"
2474195 "TFPI"
957285.8 "NDUFAF7"
1806585.2 "RBM5"
1638868 "MTMR7"
2449373.6 "SLC7A2"
484951.8 "ARF5"
3305279.4 "SARM1"
858379 "POLDIP2"
2226190.6 "PLXND1"
2466721.4 "AK2"
1798725 "CD38"
1195496 "FKBP4"
1860923.2 "KDM1A"
1397275.8 "RBM6"
1257996.6 "CAMKK1"
1205549 "RECQL"
1841858.2 "VPS50"
464894 "HSPB6"
1396521.4 "ARHGAP33"
284913 "NDUFAB1"
1156209.2 "PDK4"
652752.6 "SLC22A16"
572633.8 "ZMYND10"
1720862 "ABCB5"
932153.6 "ARX"
1026028.4 "SLC25A13"
928015.8 "ST7"
1869662 "CDC27"
1594391.8 "SLC4A1"
1229270.8 "CALCR"
742299.4 "HCCS"
961971.8 "DVL2"
444601.6 "PRSS22"
1719727.6 "UPF1"
1232659.8 "SKAP2"
419846.4 "SLC25A5"
715969 "MCUB"
858953.8 "HOXA11"
301855.4 "POLR2J"
1780803 "DHX33"
861370.8 "MEOX1"
3426861 "THSD7A"
2690610.4 "LIG3"
1395680.8 "RPAP3"
1063280.2 "ACSM3"
866077.2 "REXO5"
650002.2 "CIAPIN1"
1187430.2 "SPPL2B"
1858486.2 "ATOSB"
294675.8 "COPZ2"
1397276.6 "PRKAR2B"
2098301.8 "MSL3"
3471061 "CREBBP"
2486970.6 "TSPOAP1"
1035355.2 "MPO"
767415.6 "PON1"
1402042.4 "GCFC2"
759652.2 "WDR54"
1030751 "CROT"
1384390.6 "ABCB4"
2496904.4 "KMT2E"
602257.6 "RHBDD2"
1339357.6 "SOX8"
1941867 "IBTK"
3175343.6 "ZNF195"
5627445.4 "MYCBP2"
1126621.2 "FBXL3"
2418847.8 "ITGAL"
1081244.8 "PDK2"
1765549.8 "ITGA3"
2443017.4 "ZFX"
2091884 "LAMP2"
1121773.8 "ITGA2B"
1216211.8 "ASB4"
934508.4 "GDE1"
787522 "REX1BD"
561812.2 "CRLF1"
1444733.4 "OSBPL7"
1354504.6 "TMEM98"
1466184.6 "YBX2"
420962.6 "KRT33A"
1476655.6 "MAP3K14"
2108502 "ABCC8"
614162.4 "CACNG3"
1279385.2 "TMEM132A"
1829941.4 "AP2B1"
341164.2 "TAC1"
1586187 "ZNF263"
1862944.2 "CX3CL1"
1138895.8 "SPATA20"
2766929.4 "CACNA1G"
541915.6 "TNFRSF12A"
737212 "DLX6"
3697456.2 "MAP3K9"
895391.4 "RALA"
1173413 "BAIAP2L1"
2959538 "KDM7A"
2071164.8 "ETV1"
1243811.8 "AGK"
1893300.8 "ALDH3B1"
1096443.2 "TTC22"
1667346.6 "PHTF2"
226779.6 "CCL26"
1944631 "FARP2"
1043926.2 "USH1C"
373795.6 "GGCT"
1175557 "DBF4"
846980.4 "TBXA2R"
1174267 "IFRD1"
248517.6 "LGALS14"
1588891.6 "COX10"
1894159.6 "GTF2IRD1"
710644 "PAF1"
1880555.8 "VPS41"
1422200.6 "ARHGAP44"
1215243.4 "ELAC2"
3107593.4 "SCIN"
1655471 "ARSD"
1071703.4 "PNPLA4"
1968041.4 "MYH13"
1276305.2 "ADIPOR2"
716152.4 "CDKL3"
781722 "UPP2"
355999.2 "PRSS21"
1680703.8 "MARK4"
1397474.8 "PROM1"
342061 "CCDC124"
545077.2 "CEACAM21"
2596050.4 "PAFAH1B1"
1634375.2 "NOS2"
4419424.2 "DNAH9"
2390265.6 "BLTP2"
914642 "SLC13A2"
2656910.8 "GAS7"
260508 "TRAPPC6A"
678207.6 "MATK"
798620.8 "CEACAM7"
405159.8 "CD79B"
2508446 "SCN4A"
1441374.6 "ST7L"
824995.2 "TKTL1"
2230827.8 "PAX6"
695960.8 "RPUSD1"
962173.4 "RHBDF1"
882647.4 "LUC7L"
1832613.2 "CACNA2D2"
1526581.4 "BAIAP3"
392356 "TSR3"
951594.6 "PIGQ"
2565568.4 "CRAMP1"
960649.2 "TEAD3"
1245885 "SELE"
1610981.8 "DNAJC11"
661784.8 "FMO3"
988671.4 "MYLIP"
814669.6 "NOX1"
1670694.2 "E2F2"
621625.8 "PSMB1"
1028767 "SYN1"
1934425.6 "JARID2"
4715388 "CDKL5"
991402.8 "CAMK1G"
968304.8 "CDK11A"
1175870.6 "NADK"
1806328.2 "TFAP2B"
660521.6 "TFAP2D"
2219992.8 "DLEC1"
1452882.6 "CYTH3"
3053198.6 "ADAM22"
681023 "SYPL1"
1029314 "CYB561"
2663645.2 "SPAG9"
3843341.6 "CELSR3"
2748813.8 "AASS"
1002866.2 "PLEKHG6"
863654.4 "SS18L2"
522914.8 "MPND"
688532.4 "MGST1"
1227069.8 "CRY1"
227232.6 "PGLYRP1"
1934727.8 "NFIX"
2236191.2 "ST3GAL1"
1420519.6 "MMP25"
445042.2 "IL32"
4555614 "PKD1"
1833113 "MAPK8IP2"
1251306.2 "MED24"
1791136.2 "RHOBTB2"
2227243.4 "HEATR5B"
2093748.2 "SEC62"
1510168.2 "RPS20"
1817077 "CSDE1"
1674933.8 "UBE3C"
3522412.8 "REV3L"
4352458.4 "TENM1"
1998468.6 "PAX7"
858263 "MASP2"
2770265.4 "IYD"
1149496.8 "FAM76A"
1061388.4 "TRAF3IP3"
1813256.4 "POMT2"
2247336.2 "VTA1"
1042345.4 "MLXIPL"
1043174.4 "MLXIPL"
1975069 "BAZ1B"
1088061.8 "RANBP9"
573373.2 "ETV7"
1144875.8 "SPRTN"
1086210.6 "METTL13"
1053167.4 "DYRK4"
4403660 "ZNF207"
514758 "UQCRC1"
1171336.6 "STARD3NL"
1070937 "CD9"
589565.2 "HHATL"
1553286 "NCAPD2"
966799.2 "IFFO1"
1099159.8 "GIPR"
685446.4 "PHF7"
1612708.6 "SEMA3G"
1721736 "NISCH"
2553899.6 "STAB1"
557001.6 "FUZ"
702837.6 "SLC6A13"
2425563 "IDS"
296161 "PRSS3"
1385994.6 "ZNF200"
979774.8 "CD4"
548797.6 "LRRC23"
1467184.6 "BTK"
1660722.2 "HFE"
1082180 "SCMH1"
1167573.6 "FYN"
3225767.4 "HIVEP2"
1003994 "FMO1"
1634405 "ELOA"
525702 "LYPLA2"
1806653.2 "CLCN6"
1845921.8 "MRC2"
385788.6 "NME1-NME2"
1167482 "SLC6A7"
1390888.4 "TSPAN9"
2710036 "BTBD7"
1367356 "APBA3"
1325508.6 "MKS1"
1702388.6 "ABHD5"
2008177 "ANOS1"
1567976.6 "AKAP8L"
1722988 "MBTD1"
606289.2 "UTP18"
1861450.4 "RNF216"
984351 "TTC19"
1499042.2 "PTBP1"
760071.2 "DPF1"
2325108 "SYT7"
3233107.8 "LARS2"
2704444.6 "PIK3C2A"
518537 "PLAUR"
1519991.2 "ANLN"
2893840.4 "WIZ"
1605256.2 "RABGAP1"
2195797 "DCN"
868331.6 "QPCTL"
1501427 "PPP5C"
1890639.4 "CEP68"
1393172 "MAP4K3"
655966.4 "ZBTB32"
199324 "TYROBP"
581220.4 "LDAF1"
1176900.8 "GABRA3"
2344024 "BRCA1"
1083152.8 "ERCC1"
1053899.8 "CD22"
1056498.6 "SEMA3B"
1423779.4 "MBTPS2"
897192 "PRICKLE3"
877045.2 "LTF"
2926048.6 "EXTL3"
925845.8 "NR1H4"
987302.2 "ELOVL5"
810543.8 "ALOX5"
2193691 "KDM5D"
1882455.2 "CALCOCO1"
1123008.8 "UBR7"
1542718.4 "MAP4K5"
1552747 "EHD3"
565610.8 "PSMC4"
2483067.8 "MAN2B2"
3258255 "SLC7A14"
883428.6 "CLDN11"
712917.4 "SLC25A39"
945697 "MVP"
1035228 "NUB1"
2532760.2 "PGM3"
1208952.8 "RWDD2A"
1029308.6 "CLK1"
1346988.6 "POLR3B"
1697345.4 "ANGEL1"
1354661.6 "RNF14"
968776.6 "DNASE1L1"
1347600.4 "DDX11"
660083.2 "HEBP1"
2106438.4 "GPRC5A"
1647879.6 "MAMLD1"
1047843.4 "CD6"
952443.6 "TACC3"
1357623.2 "UFL1"
1245037 "POLA2"
1051384 "ZC3H3"
995329.2 "CAPN1"
1021010.8 "ACP3"
529381.4 "MDH1"
1977806.8 "SLC30A9"
1070639.4 "MTMR11"
1613614 "COX15"
2432318.8 "CCDC88C"
1634499 "YAF2"
2300006 "ZMYND11"
884743.2 "WAS"
572651.4 "DPEP1"
804119 "BID"
2340874.2 "MATR3"
1617618.6 "NPC1L1"
1132097.4 "XYLT2"
2338683.6 "RGPD5"
748900.2 "STMN4"
2584727.2 "NUDCD3"
769715.8 "ISL1"
2480010.8 "CHDH"
1131746.4 "IL20RA"
1065532 "CLCA1"
1032701.2 "CLCA4"
606383.8 "GLT8D1"
1603185.8 "ATP2C1"
2328739.4 "IGF1"
850570.8 "SLC38A5"
1412137.8 "RALBP1"
1426250.6 "RUFY3"
1821018.4 "CNTN1"
1853675.4 "SLC11A1"
1615555.4 "WWTR1"
3531667.8 "AGPS"
572088.8 "ZNF285CP"
764073.4 "STEEP1"
1750523 "ATP1A2"
979026.8 "TTC27"
985354.2 "ZNF582"
383949.2 "VSIG2"
1916842 "PHLDB1"
587676 "MARCO"
1052491.6 "CYP24A1"
3449928 "PRDM11"
1659030 "SYT13"
906600.6 "SNAI2"
981173 "CD74"
1871196.8 "HGF"
1829364 "ZRANB1"
1189115.6 "NCDN"
2235850.8 "ADGRA2"
540888.8 "CCT8L1P"
982372.4 "ZFP64"
850950.6 "MNAT1"
2304124.4 "SAMD4A"
1393145 "RUNX3"
2196742.2 "MRE11"
731041 "PLEKHB1"
794880.2 "SERPINB1"
594426.6 "CYP3A43"
640099.6 "SLC7A9"
1692135.6 "SPAST"
3867486.6 "NRXN3"
1243685.8 "OSBPL5"
3081542.4 "AQR"
1856285 "CPS1"
922719.2 "C8B"
923033.6 "FHL1"
704445.6 "RTF2"
1567717.6 "GABRA1"
1206633.8 "NLRP2"
2408379.6 "SLC45A4"
1226041.8 "RNF10"
966164.4 "ZNF839"
1387374.8 "ZDHHC6"
2678745 "GRAMD1B"
1057122.2 "RNH1"
3744080 "NDUFS1"
2136725.2 "RB1CC1"
1914405.6 "ERP44"
781862 "ALAS1"
2208474.4 "BIRC3"
3180708 "AKAP11"
1799268.4 "GLRX2"
833947.6 "SNAPC1"
528819.8 "DERA"
602224.8 "STRAP"
1863280.2 "ABCC2"
1036510.4 "DEF6"
1205493.2 "PLEKHO1"
1565654.6 "GCLM"
2537031.2 "UBR2"
2537001.2 "UBR2"
1125159.2 "EHD2"
1700583.8 "DEPDC1"
401930.4 "CCDC28A"
1578999.6 "RRAGD"
848766.6 "HSF2"
1894308.8 "PHF20"
564263.2 "HSD17B6"
882114.2 "NR1H3"
661576.8 "TYMP"
1076435.4 "NCAPH2"
634653.6 "TOMM34"
2067472 "SEC63"
2359714 "KPNA6"
857673.2 "VIM"
1883936.6 "RTEL1-TNFRSF6B"
5287742.8 "FAS"
2777235.8 "RNASET2"
1741656.2 "CD44"
1199168.4 "KCNG1"
2547295.6 "AGPAT4"
1136435.4 "SLAMF7"
1106915.4 "BTN3A1"
766201.2 "MIPEP"
1199378 "PRKCH"
1672022 "INSRR"
808937.8 "IFNGR1"
848914.6 "B4GALT7"
537978.6 "SH2D2A"
853891.4 "VRK2"
1188349.4 "TNFRSF1B"
1446339 "VEZT"
2270339.4 "POU2F2"
1566311 "BRD9"
2640425.8 "SNX1"
1345739.8 "TBPL1"
2216473.4 "BMAL2"
2480392.8 "BCLAF1"
1730433.8 "SLC39A9"
2727952.4 "ANK1"
507951.6 "IBSP"
898515.8 "TFB1M"
1904620.8 "RABEP1"
1128737.4 "HMGB3"
1726219.2 "NUP160"
711792.4 "BAK1"
2653159.8 "MUSK"
3064519.4 "IKZF2"
685105 "GRN"
1792687.8 "FAM13B"
2995412.4 "ARHGAP31"
559436.2 "CENPQ"
618051.8 "SARS1"
1041666.6 "RANBP3"
1891890.8 "ARID4A"
945431.4 "EIPR1"
1489066.4 "PNPLA6"
996574.2 "IFT88"
1914599.4 "ALG1"
1821440.6 "ZCCHC8"
1458875.4 "ABCF2"
1425805.8 "CHPF2"
8949752.6 "LRRC7"
1657674.2 "FUT8"
3056642 "UBA6"
1967533 "GAB2"
2669354 "ATP6V0A1"
2555120 "PIAS1"
2588473.8 "SLC4A7"
1301308.2 "APBA2"
771867.2 "MAP2K3"
734613.2 "CLXN"
149107.2 "TMSB10"
862872.4 "ASTE1"
1392828 "RNF19A"
